"","song","artist","lyrics"
"11","Good Luck, Babe!","Chappell Roan","  It's fine, it's cool You can say that we are nothing, but you know the truth And guess I'm the fool With her arms out like an angel through the car sunroof    I don't wanna call it off But you don't wanna call it love You only wanna be the one that I call ""baby""    You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling    I'm cliché, who cares? It's a sexually explicit kind of love affair And I cry, it's not fair I just need a little lovin', I just need a little air   Think I'm gonna call it off Even if you call it love I just wanna love someone who calls me ""baby""    You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling    Ah, ah-yeah, oh When you wake up next to him in the middle of the night With your head in your hands, you're nothing more than his wife And when you think about me all of those years ago You're standing face to face with ""I told you so"" You know I hate to say it, I told you so You know I hate to say, but I told you so   You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling (Well, I told you so) You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling    You'd have to stop the world just to stop the feeling You'd have to stop the world just to stop the feeling You'd have to stop the world just to stop the feeling"
"12","Too Sweet","Hozier","  It can't be said I'm an early bird It's 10 o'clock before I say a word Baby, I can never tell How do you sleep so well? You keep tellin' me to live right To go to bed before the daylight But then you wake up for the sunrise You know you don't gotta pretend Baby, now and then    Don't you just wanna wake up, dark as a lake Smellin' like a bonfire, lost in a haze? If you're drunk on life, babe, I think it's great But while in this world    I think I'll take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me I take my whiskеy neat My coffee black and my bed at 3 You're too sweet for mе You're too sweet for me   Ooh, ooh Ooh, ooh    I aim low I aim true, and the ground's where I go I work late where I'm free from the phone And the job gets done But you worry some, I know But who wants to live forever, babe? You treat your mouth as if it's Heaven's gate The rest of you like you're the TSA I wish I could go along Babe, don't get me wrong    You know you're bright as the morning, as soft as the rain Pretty as a vine, as sweet as a grape If you can sit in a barrel, maybe I'll wait Until that day    I'd rather take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me I take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me   Woah, woah Woah, woah Woah, woah Woah, woah    I take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me"
"13","APT.","ROSE & Bruno Mars","  채영이가 좋아하는 랜덤 게임 랜덤 게임 Game start    아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh    Kissy face, kissy face Sent to your phone, but I'm tryna kiss your lips for real (Uh-huh, uh-huh) Red hearts, red hearts That's what I'm on, yeah Come give me somethin' I can feel, oh-oh, oh    Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the   아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh    It's whatever (Whatever), it's whatever (Whatever) It's whatever (Whatever) you like (Woo) Turn this 아파트 into a club (Uh-huh, uh-huh) I'm talkin' drink, dance, smoke, freak, party all night (Come on) 건배, 건배, girl, what's up? Oh-oh, oh    Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the    아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh   Hey, so now you know the game Are you ready? 'Cause I'm comin' to get ya, get ya, get ya Hold on, hold on I'm on my way Yeah, yeah, yeah-yeah, yeah I'm on my way Hold on, hold on I'm on my way Yeah, yeah, yeah-yeah, yeah I'm on my way    Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the    아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh"
"14","Timeless","The Weeknd & Playboi Carti","  XO Ooh, yeah, ooh, yeah, no    Ever since I was a jit, knew I was the shit (Ooh, yeah) Shorty keep wanna come 'round, she wanna get hit (Wanna get hit so hard) She think she the main because I keep her by my side Double-O, bust down the watch, she know that I'm timeless (Timeless) I put my son in some Rick I pull that gun off the hip Pockets hold twenty-two clips (Ah) I break her heart, Comme Garçon Put on a shirt, get put on a blimp Bitch like a stain, get ready to lick I had to tell her that ever since I was a jit, knеw I was the shit (Oh) She singin' my songs, she wanna diе lit, tryna get hit House like a bank, deposit this bitch, 'posit that check Smile on my face, ain't playing shit, come and get checked (Uh) Ice on my neck, double-O wrist She in the Scat, hell of a 'Cat Fresh out the trench, four hundred packs Uh, yeah, I'm spinnin' in Paris (Uh) Dress for these hoes, they finna flock Just poured a four in a soda, it pop Them drugs finna hit, I'm feelin' ill I'm wrestlin' all of my demons, I feel like The Rock   (Shit, uh, yeah) Ever since I was a kid, I been legit (Jit, ooh, nah) If I was you, I would cut up my wrist (Dumb bit') XO tatted all over her body, yeah (Yeah) She just wanna roll and I don't mind it, yeah Ever since I was a jit, I been legit (Ooh, nah, uh) You should let her go, she wanna be it (Oh, yeah) Double-O tatted on her body, yeah It don't matter what they say, I'm timeless, yeah (Schyeah)    Oh, city on fire when I'm comin' home Fill up the sky (Yeah), I fill up the Dome They'll play it one day (Yeah), it's a hell of a show But it's gonna hurt 'cause we did it first Feel like Skateboard P, BBC boys on the creep Feel like it's '03, Neptune drum with a beam (Yeah) She hippie-flippin' a bean, she wanna fuck with the team She fell in love with the cream (Yeah), she fell in love with the scene Ooh, yeah, her man quiet, not a peep (Oh, nah) Broke his heart, PTSD (Oh, nah) Hold his chest, let it breathe Let it breathe, niggas scheme And I got a priest, he got a cross Get out of line, send him to God I shed a tear, pray for a loss, ooh, yeah (Yeah)   Ever since I was a kid, I been legit (Homixide, Homixide, Homixide, oh, oh) If I was you, I would cut up my wrist (Ah) XO tatted all over her body, yeah (Body, yeah) She just wanna roll and I don't mind it, yeah Ever since I was a jit, I been legit (Yeah, ooh, nah) You should let her go, she wanna be it (Oh, nah) Double-O tatted on her body, yeah (Body, yeah) It don't matter what they say, I'm timeless    Timeless (Oh), timeless, timeless Timeless, timeless, timeless, we timeless, oh Timeless, timeless, timeless (Yeah), timeless Timeless (Yeah), timeless, timeless, we timeless, oh Oh (Blatt) Oh (Yuh, lit)"
"15","Please Please Please","Sabrina Carpenter","  I know I have good judgment, I know I have good taste It's funny and it's ironic that only I feel that way I promise 'em that you're different and everyone makes mistakes But just don't I heard that you're an actor, so act like a stand-up guy Whatever devil's inside you, don't let him out tonight I tell them it's just your culture and everyone rolls their eyes Yeah, I know All I'm asking, baby    Please, please, please Don't prove I'm right And please, pleasе, please Don't bring me to tеars when I just did my makeup so nice Heartbreak is one thing, my ego's another I beg you, don't embarrass me, motherfucker, oh Please, please, please (Ah)    Well, I have a fun idea, babe (Uh-huh), maybe just stay inside I know you're cravin' some fresh air, but the ceiling fan is so nice (It's so nice, right?) And we could live so happily if no one knows that you're with me I'm just kidding, but really (Kinda), really, really   Please, please, please (Please don't prove I'm right) Don't prove I'm right And please, please, please Don't bring me to tears when I just did my makeup so nice Heartbreak is one thing (Heartbreak is one thing), my ego's another (Ego's another) I beg you, don't embarrass me, motherfucker, oh Please, please, please (Ah)    If you wanna go and be stupid Don't do it in front of me If you don't wanna cry to my music Don't make me hate you prolifically Please, please, please (Please) Please, please, please (Please) Please (Please), please (Please), please (Ah)"
"16","Not Like Us","Kendrick Lamar","  Psst, I see dead people (Mustard on the beat, ho)    Ayy, Mustard on the beat, ho Deebo any rap nigga, he a free throw Man down, call an amberlamps, tell him, ""Breathe, bro"" Nail a nigga to the cross, he walk around like Teezo What's up with these jabroni-ass niggas tryna see Compton? The industry can hate me, fuck 'em all and they mama How many opps you really got? I mean, it's too many options I'm finna pass on this body, I'm John Stockton Beat your ass and hide the Bible if God watchin' Sometimes you gotta pop out and show niggas Certified boogeyman, I'm the one that up the score with 'em Walk him down, whole time, I know he got some ho in him Pole on him, extort shit, bully Death Row on him Say, Drake, I hear you like 'em young You better not ever go to cell block one To any bitch that talk to him and they in love Just make sure you hide your lil' sister from him They tell me Chubbs the only one that get your hand-me-downs And Party at the party playin' with his nose now And Baka got a weird case, why is he around? Certified Lover Boy? Certified pedophiles Wop, wop, wop, wop, wop, Dot, fuck 'em up Wop, wop, wop, wop, wop, I'ma do my stuff Why you trollin' like a bitch? Ain't you tired? Tryna strike a chord and it's probably A minor   They not like us, they not like us, they not like us They not like us, they not like us, they not like us    You think the Bay gon' let you disrespect Pac, nigga? I think that Oakland show gon' be your last stop, nigga Did Cole foul, I don't know why you still pretendin' What is the owl? Bird niggas and burnt bitches, go The audience not dumb Shape the stories how you want, hey, Drake, they're not slow Rabbit hole is still deep, I can go further, I promise Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted Ain't no law, boy, you ball boy, fetch Gatorade or somethin' Since 2009, I had this bitch jumpin' You niggas'll get a wedgie, be flipped over your boxers What OVO for? The ""Other Vaginal Option""? Pussy Nigga better straighten they posture, got famous all up in Compton Might write this for the doctorate, tell the pop star quit hidin' Fuck a caption, want action, no accident And I'm hands-on, he fuck around, get polished Fucked on Wayne girl while he was in jail, that's connivin' Then get his face tatted like a bitch apologizin' I'm glad DeRoz' came home, y'all didn't deserve him neither From Alondra down to Central, nigga better not speak on Serena And your homeboy need subpoena, that predator move in flocks That name gotta be registered and placed on neighborhood watch I lean on you niggas like another line of Wock' Yeah, it's all eyes on me, and I'ma send it up to Pac, ayy Put the wrong label on me, I'ma get 'em dropped, ayy Sweet Chin Music and I won't pass the aux, ayy How many stocks do I really have in stock? Ayy One, two, three, four, five, plus five, ayy Devil is a lie, he a 69 God, ayy Freaky-ass niggas need to stay they ass inside, ayy Roll they ass up like a fresh pack of 'za, ayy City is back up, it's a must, we outside, ayy   They not like us, they not like us, they not like us They not like us, they not like us, they not like us    Once upon a time, all of us was in chains Homie still doubled down callin' us some slaves Atlanta was the Mecca, buildin' railroads and trains Bear with me for a second, let me put y'all on game The settlers was usin' townfolk to make 'em richer Fast-forward, 2024, you got the same agenda You run to Atlanta when you need a check balance Let me break it down for you, this the real nigga challenge You called Future when you didn't see the club (Ayy, what?) Lil Baby helped you get your lingo up (What?) 21 gave you false street cred Thug made you feel like you a slime in your head (Ayy, what?) Quavo said you can be from Northside (What?) 2 Chainz say you good, but he lied You run to Atlanta when you need a few dollars No, you not a colleague, you a fuckin' colonizer The family matter and the truth of the matter It was God's plan to show y'all the liar    Mm Mm-mm He a fan, he a fan, he a fan (Mm) He a fan, he a fan, he a Freaky-ass nigga, he a 69 God Freaky-ass nigga, he a 69 God Hey, hey, hey, hey, run for your life Hey, hey, hey, hey, run for your life Freaky-ass nigga, he a 69 God Freaky-ass nigga, he a 69 God Hey, hey, hey, hey, run for your life Hey, hey, hey, hey, run for your life Let me hear you say, ""OV-ho"" (OV-ho) Say, ""OV-ho"" (OV-ho) Then step this way, step that way Then step this way, step that way   Are you my friend? Are we locked in? Then step this way, step that way Then step this way, step that way"
"17","Sticky","Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",NA
"18","I Am Not Okay","Jelly Roll","  I am not okay I'm barely gettin' by I'm losin' track of days And losin' sleep at night I am not okay I'm hangin' on the rails So if I say I'm fine Just know I learned to hide it well    I know I can't be the only one Who's holdin' on for dear life But God knows, I know When it's all said and done I'm not okay But it's all gonna be alright It's not okay But we're all gonna be alright    I woke up today I almost stayed in bed Had the devil on my back And voices in my head Some days, it ain't all bad Some days, it all gets worse Some days, I swear I'm better off Layin' in that dirt   I know I can't be the only one Who's holdin' on for dear life But God knows, I know When it's all said and done I'm not okay But it's all gonna be alright It's not okay But wе're all gonna be alright Gonna be alright Gonna bе alright    I know one day We'll see the other side The pain'll wash away In a holy water tide And we all gonna be alright    I know I can't be the only one Who's holdin' on for dear life But God knows, I know When it's all said and done I'm not okay But it's all gonna be alright It's not okay But we're all gonna be alright I'm not okay But it's all gonna be alright"
"19","Lies Lies Lies","Morgan Wallen","  I don't come down with the Sun I won't hate myself when the mornin' comes No thoughts of your body runnin' through my head No bottle of bourbon beside the bed, 'cause    It wasn't no thing to give you up I never reach for you in another touch Don't ever think about you with him And girl, tonight I won't call again and again Ain't nothin' but    Lies, lies, lies Look into my eyes, eyes, eyes I'm still a fool for you Nothin' I wouldn't do for you Lies, lies, lies Girl, I'm on a downhill dive Habits and hard heartbreaks are hard to break So I just tell the same old lies, liеs, lies Yeah, baby, I can try, try, try    To act like I don't givе a damn, but I do Bet you're missin' me bad as I miss you Snowballs to a phone call Soundin' somethin' stupid Baby, 'cause the truth is The ninety proof is tellin' me   Lies, lies, lies Look into my eyes, eyes, eyes I'm still a fool for you Nothin' I wouldn't do for you Lies, lies, lies Girl, I'm on a downhill dive Habits and hard heartbreaks are hard to break So I just tell the same old lies, lies, lyin' to myself Why, why, why in the hell Do I keep sayin', ""I can get you back""? That's about as honest as sayin' that    I don't come down with the Sun I won't hate myself when the mornin' comes Them ain't nothin' but    Lies, lies, lies Look into my eyes, eyes, eyes I'm still a fool for you Nothin' I wouldn't do for you Lies, lies, lies Girl, I'm on a downhill dive Habits and hard heartbreaks are hard to break So I just tell the same old lies, lies, lies   Lies, lies, lies"
"20","Stargazing","Myles Smith","  Ooh-ooh, ooh-ooh, ooh-ooh    Time stood still just like a photograph You made me feel like this would last forever Lookin' in your eyes I see my whole life    Oh, oh They say you know it when you know it, and I know Oh, oh Promise that you'll hold me close, don't let me go (Hey)    Take my heart, don't break it Love me to my bones All this time I've wasted You were right there all along You and I stargazin' Intertwinin' souls We were never strangers You were right therе all along    I lose my mind When I'm around you, how I come alivе When I'm without you, I can't help but feel so lost I wanna give you all I've got   Oh, oh They say you know it when you know it, and I know Oh, oh Promise that you'll hold me close, don't let me go (Hey!)    Take my heart, don't break it Love me to my bones All this time I've wasted You were right there all along You and I stargazin' Intertwinin' souls We were never strangers You were right there all along    Ooh-ooh, ooh-ooh, ooh-ooh All along Ooh-ooh, ooh-ooh, ooh-ooh    Take my heart, don't break it Love me to my bones All this time I've wasted You were right there all along"
